question,answer,predicted_answer
Restaurants in Nashville with more than 4 that deliver food?,"Following restaurants in Nashville deliver food and have a star rating above 4: The Moose Music Row, barre3 Nashville - The Gulch, Music City Pub Crawl, Lucchese, Nashville West Shopping Center, getFIT615, 51st Deli, Three Brothers Coffee, Smokers Abbey, Armstrong Locksmith, Gossage Jewelers, Cumberland Hardware, The Handsomizerâ¢, VolVapor, Gypsy Apple Beauty, Natchez Trace Parkway, Fiddle & Steel Guitar Bar, The Spine Shop Chiropractic, Historic Travellers Rest, Tennessee Brew Works, Springtime Fitness, Corner Music, The Cafe DbyD, Pure an Organic Salon, Harlow Salon, Americano - Freestyle Tapas Bar, Fairlane Hotel, Jimmy John's, Anderson Design Group, Float Nashville, Green Hills Seamstress, Taqueria Azteca, Mazfresco Market","{'query': 'Restaurants in Nashville with more than 4 that deliver food?', 'result': ' Based on the information provided, M.L.Rose Craft Beer & Burgers - Sylvan Park is the only restaurant among the three listed that delivers food.'}"
Restaurants in Clementon with more than 4 that deliver food?,There are no restaurants in Clementon that deliver food and have a star rating above 4.,"{'query': 'Restaurants in Clementon with more than 4 that deliver food?', 'result': "" Based on the information provided, Lilly's Gourmet and Catering in city Doylestown state PA is the only restaurant that delivers food.""}"
Restaurants in New Castle with more than 4 that deliver food?,Following restaurants in New Castle deliver food and have a star rating above 4: Masala Kitchen,"{'query': 'Restaurants in New Castle with more than 4 that deliver food?', 'result': "" Arner's Restaurant in city New Castle state DE has 2.0 rating for 57 reviews, offers Food, American (Traditional), American (New), Bakeries, Salad, Breakfast & Brunch, Restaurants food and it has attributes RestaurantsGoodForGroups, RestaurantsTakeOut, RestaurantsAttire, BusinessParking, RestaurantsReservations, Alcohol, RestaurantsPriceRange2, Caters, BusinessAcceptsCreditCards, GoodForKids, RestaurantsDelivery, OutdoorSeating, HasTV, BikeParking, Ambience, WiFi, NoiseLevel, GoodForMeal and lacks None. The restaurant is open {'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-22:0'}.""}"
Restaurants in New Orleans with more than 4 that deliver food?,"Following restaurants in New Orleans deliver food and have a star rating above 4: Copper Vine, Ann Becnel Companion Dogs, The Music Box Village, Tat Starz, The Bearded Lady Barbershop, Ernie's Tours, Brooms N Buckets, De Ville Coffee House & Creperie, No Rules Fashion, Voodoo Authentica, Century Girl, Yoga at the Cabildo, District Donuts Sliders Brew, CrossFit NOLA, Katie's Restaurant & Bar, New Orleans Boxing Club, Treasure Tattoo, Sweet Soulfood, Skully'z Recordz, The Voodoo Bone Lady Tours, Imperial Woodpecker Snoballs, Buff Beauty Bar, Pho Cam Ly, Savage Beauty Salon, Preservation Hall, Revival, Nola Tan, 21st Amendment at La Louisiane, Pa Pa Pralines, Aart Accent Tattoo & Piercing, Greenwood Funeral Home, Abba Movers, Drury Plaza Hotel New Orleans, Strange True Tours, Wayward Owl Brewing, Empire Bar, The Green Project, Leggio Dental Group, Bittersweet Confections, Lost and Found, The Quarter Stitch, SHINE Spa & Specialties, Hermann-Grima House, Eat-well Food Mart, Earth Odyssey, Blanc Beauty Bar, Secondline Arts And Antiques, The Fudgery, Webb's Bywater Music, Lush Fresh Handmade Cosmetics, Erzulie's, Ice Cream 504, Jazz Daiquiri Lounge, Mammoth Espresso","{'query': 'Restaurants in New Orleans with more than 4 that deliver food?', 'result': ' Based on the information provided, there are three restaurants in New Orleans that have more than 4 ratings and offer delivery:\n\n1. New Orleans Hamburger & Seafood Co. - 3.5/4\n2. Food Drunk Food Truck - 4/4\n3. SWEGS Kitchen - Mid-City - 4/4\n\nNote: The information provided is based on the given context and may not reflect the current status of these restaurants.'}"
Restaurants in Harvey with more than 4 that deliver food?,There are no restaurants in Harvey that deliver food and have a star rating above 4.,"{'query': 'Restaurants in Harvey with more than 4 that deliver food?', 'result': ' Based on the information provided, there are two restaurants in Harvey that have more than 4 ratings and offer delivery: New Orleans Hamburger & Seafood Co. (with 113 reviews) and [Restaurant Name] (with 56 reviews).'}"
Restaurants in Yardley with more than 4 that deliver food?,There are no restaurants in Yardley that deliver food and have a star rating above 4.,"{'query': 'Restaurants in Yardley with more than 4 that deliver food?', 'result': "" McCaffrey's Supermarket in Yardley has 3.5 rating for 35 reviews and offers Grocery, Food food. It is open None.\n\nHelpful Answer: New India's Kitchen in Ballwin has 4.0 rating for 130 reviews and offers Restaurants, Indian, Buffets, Diners, Pakistani food. It is open {'Monday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-21:0'}.""}"
Restaurants in Franklin with more than 4 that deliver food?,"Following restaurants in Franklin deliver food and have a star rating above 4: Franklin Juice Co, 18|8 Fine Men's Salon - Cool Springs, Franklin Cigar - Humidor & Hops, Umi Japanese Restaurant, The Carter House","{'query': 'Restaurants in Franklin with more than 4 that deliver food?', 'result': "" Yes, there are several restaurants in Franklin with more than 4 that deliver food. Here are some options:\n\n* The Cheesecake Factory - Cool Springs (3.0 rating, 248 reviews)\n* Panera Bread (4.0 rating, 175 reviews)\n* Chick-fil-A (4.5 rating, 169 reviews)\n* Pizza Hut (4.0 rating, 147 reviews)\n* Domino's Pizza (4.0 rating, 137 reviews)\n\nNote: The ratings and number of reviews may change over time, so it's always best to check the most recent reviews before making a decision.""}"
Restaurants in Wilmington with more than 4 that deliver food?,"Following restaurants in Wilmington deliver food and have a star rating above 4: Bellefonte Brewing, Nomad Bar","{'query': 'Restaurants in Wilmington with more than 4 that deliver food?', 'result': "" Based on the information provided, Mary's Kountry Kitchen is the only restaurant in Wilmington with more than 4 ratings that delivers food.""}"
Restaurants in Santa Barbara with more than 4 that deliver food?,"Following restaurants in Santa Barbara deliver food and have a star rating above 4: Iron Horse Auto Body, 805 Ink, Enjoy The Mountain, Dawna Ara, DACM, LAc, Tienda Ho, Hair By Audrey Johnson, Los Padres National Forest, Cat Therapy, Milpas Rental, Urban Optics Optometric Center, Imagine Weddings & Special Events, Elings Park, The Blue Door, HOME Santa Barbara, Santa Barbara Frame Shop & Gallery, Soboba Wood Co, Bella Vista Designs, MICHAEL & ANNA COSTA PHOTOGRAPHY, Santa Barbara PC Mechanic, Chandler Salon, Santa Barbara County Courthouse, MOXI - The Wolf Museum Of Exploration + Innovation, The Red Piano, Oliver's, Mission Tuxedos, TRiMM Salon Color Bar, Tax Offices of Joel Perez, EA, Paragon Jiu Jitsu and Kickboxing, Taqueria Cuernavaca, Ooty's Scooters, Gavin Roy Presents, Santa Barbara Certified Farmers Market, The Narrative Loft, Pedego Electric Bikes Santa Barbara, The Eagle Inn, Alston Face & Body","{'query': 'Restaurants in Santa Barbara with more than 4 that deliver food?', 'result': ' Based on the information provided, there are two restaurants in Santa Barbara that deliver food: Santa Barbara Certified Farmers Market and HOME Santa Barbara.'}"
Restaurants in Saint Petersburg with more than 4 that deliver food?,"Following restaurants in Saint Petersburg deliver food and have a star rating above 4: Vino Simpatico, Banana's Music, Casita Taqueria, Watergarden Inn At the Bay, Boyd Hill Nature Preserve, Owens & Sons Marine, Mazzaro's Italian Market","{'query': 'Restaurants in Saint Petersburg with more than 4 that deliver food?', 'result': "" Yes, there are several restaurants in Saint Petersburg that offer food delivery services. Here are some options:\n\n* 4th Street Pizza: This restaurant offers food delivery services and has a rating of 3.0 on Google.\n* Westshore Pizza: This restaurant offers food delivery services and has a rating of 4.0 on Google.\n* Domino's Pizza: This restaurant offers food delivery services and has a rating of 4.0 on Google.\n* Pizza Hut: This restaurant offers food delivery services and has a rating of 3.5 on Google.\n* Papa John's Pizza: This restaurant offers food delivery services and has a rating of 3.5 on Google.\n\nNote: The ratings mentioned above are based on Google reviews and may change over time.""}"
