question,answer,predicted_answer_without_context
Restaurants in New Orleans with more than 4 that deliver food?,"Following restaurants in New Orleans deliver food and have a star rating above 4: Copper Vine, Ann Becnel Companion Dogs, The Music Box Village, Tat Starz, The Bearded Lady Barbershop, Ernie's Tours, Brooms N Buckets, De Ville Coffee House & Creperie, No Rules Fashion, Voodoo Authentica, Century Girl, Yoga at the Cabildo, District Donuts Sliders Brew, CrossFit NOLA, Katie's Restaurant & Bar, New Orleans Boxing Club, Treasure Tattoo, Sweet Soulfood, Skully'z Recordz, The Voodoo Bone Lady Tours, Imperial Woodpecker Snoballs, Buff Beauty Bar, Pho Cam Ly, Savage Beauty Salon, Preservation Hall, Revival, Nola Tan, 21st Amendment at La Louisiane, Pa Pa Pralines, Aart Accent Tattoo & Piercing, Greenwood Funeral Home, Abba Movers, Drury Plaza Hotel New Orleans, Strange True Tours, Wayward Owl Brewing, Empire Bar, The Green Project, Leggio Dental Group, Bittersweet Confections, Lost and Found, The Quarter Stitch, SHINE Spa & Specialties, Hermann-Grima House, Eat-well Food Mart, Earth Odyssey, Blanc Beauty Bar, Secondline Arts And Antiques, The Fudgery, Webb's Bywater Music, Lush Fresh Handmade Cosmetics, Erzulie's, Ice Cream 504, Jazz Daiquiri Lounge, Mammoth Espresso","I'm sorry, I don't have access to real-time information about restaurants in New Orleans. It would be best to check with local directories or food delivery apps to find restaurants that deliver food and accommodate larger groups."
Restaurants in New Orleans with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in New Orleans offer Outdoor Seating and have a star rating above 4.5: Ann Becnel Companion Dogs, The Music Box Village, Ernie's Tours, Brooms N Buckets, Century Girl, CrossFit NOLA, New Orleans Boxing Club, Treasure Tattoo, Savage Beauty Salon, Revival, Webb's Bywater Music, Ice Cream 504","I'm sorry, I don't have access to real-time information about restaurants in New Orleans. It would be best to check online review platforms or restaurant directories that provide up-to-date ratings and information on outdoor seating options."
Restaurants in Franklin with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in Franklin that offer Outdoor Seating and have a star rating above 4.5.,"I'm sorry, but I don't have access to specific information about restaurants in Franklin. It would be best to use a search engine or a restaurant review website to find restaurants in Franklin with a rating of more than 4.5 that offer outdoor seating."
Restaurants in Santa Barbara with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in Santa Barbara offer Outdoor Seating and have a star rating above 4.5: Dawna Ara, DACM, LAc, Hair By Audrey Johnson, Urban Optics Optometric Center, Imagine Weddings & Special Events, Santa Barbara Frame Shop & Gallery, MICHAEL & ANNA COSTA PHOTOGRAPHY, Santa Barbara PC Mechanic, Chandler Salon, ParadICE Hawaiian Shave Ice & Ice Cream, Mission Tuxedos, Daves Dogs - Cart, TRiMM Salon Color Bar, Tax Offices of Joel Perez, EA, Gavin Roy Presents, The Narrative Loft, Pedego Electric Bikes Santa Barbara, Twisted Twig Fine Florals, Alston Face & Body","I'm sorry, but I don't have access to specific restaurant ratings or information about outdoor seating in Santa Barbara. It would be best to check online review platforms or contact local restaurants directly for the most up-to-date information."
Restaurants in Franklin with more than 4.5 rating that offers take outs?,There are no restaurants in Franklin that offer take outs and have a star rating above 4.5.,"I'm sorry, but I don't have access to specific information about restaurants in Franklin or their ratings. It would be best to use a search engine or a restaurant review website to find restaurants in Franklin with high ratings and takeout options."
Restaurants in Santa Barbara with more than 4.5 rating that offers take outs?,"Following restaurants in Santa Barbara offer take outs and have a star rating above 4.5: Dawna Ara, DACM, LAc, Hair By Audrey Johnson, Urban Optics Optometric Center, Imagine Weddings & Special Events, Santa Barbara Frame Shop & Gallery, MICHAEL & ANNA COSTA PHOTOGRAPHY, Santa Barbara PC Mechanic, Chandler Salon, ParadICE Hawaiian Shave Ice & Ice Cream, Mission Tuxedos, Daves Dogs - Cart, TRiMM Salon Color Bar, Tax Offices of Joel Perez, EA, Gavin Roy Presents, The Narrative Loft, Pedego Electric Bikes Santa Barbara, Twisted Twig Fine Florals, Alston Face & Body","I'm sorry, I don't have access to real-time information about restaurants in Santa Barbara. It would be best to check online platforms or review websites for the most up-to-date information on restaurants with high ratings and take-out options in Santa Barbara."
Restaurants in Saint Petersburg with more than 4.5 rating that offers take outs?,"Following restaurants in Saint Petersburg offer take outs and have a star rating above 4.5: Boyd Hill Nature Preserve, Simply Delicious - Country Market & Deli","I'm sorry, but I don't have access to real-time information about restaurants in Saint Petersburg. It would be best to check online platforms or review websites that provide up-to-date ratings and information on restaurants in the area."
Restaurants in Nashville that serve Thai above 3 stars,"Following are restaurants in Nashville that serve Thai and have above 3 stars ratings:Siam Cafe,The Smiling Elephant,Thai Taste Restaurant","I'm sorry, I don't have access to specific restaurant ratings. It would be best to check online review platforms or consult local restaurant guides for information on Thai restaurants in Nashville with ratings above 3 stars."
Restaurants in New Orleans that serve Chinese above 3 stars,"Following restaurants in New Orleans serve Chinese and have a star rating more than 3: Bullard Seafood and Grill, Boiling Pot","I'm sorry, I don't have access to specific information about restaurants in New Orleans. It would be best to consult online review platforms or local restaurant guides for recommendations on Chinese restaurants with ratings above 3 stars in New Orleans."
Restaurants in New Orleans that serve Pizza above 3 stars,"Following restaurants in New Orleans serve Chinese and have a star rating more than 3: 'Mellow Mushroom', 'Blaze Pizza', 'Garage Pizza', 'SWEGS Kitchen - Mid-City', 'Cafe Nino', 'Favela Chic'","I'm sorry, I don't have access to specific restaurant ratings. However, New Orleans is known for its vibrant food scene, and there are many highly regarded restaurants that serve pizza. Some popular options include Domenica, Pizza Domenica, and Ancora Pizzeria & Salumeria. It's always a good idea to check online reviews or ask locals for recommendations to find the best pizza places in New Orleans."
Restaurants in Franklin that deliver food,Here's one restaurant in Franklin that delivers food - Granite City Food & Brewery,"I'm sorry, but I don't have access to specific information about restaurants in Franklin that deliver food. It would be best to use a search engine or a food delivery app to find restaurants in Franklin that offer delivery services."
Give me 4 restaurants from city Santa Barbara,"Following restaurants are from Santa Barbara: 'The Barber Shop', 'Our Daily Bread','Urban Optics Optometric Center','Best Western Plus Pepper Tree Inn',","1. The Lark - Located in the Funk Zone, The Lark offers a farm-to-table dining experience with a focus on seasonal ingredients and creative dishes.

2. The Black Sheep - This restaurant in downtown Santa Barbara offers a modern American menu with a Mediterranean twist. They are known for their flavorful dishes and craft cocktails.

3. Brophy Bros. - Situated on the Santa Barbara Harbor, Brophy Bros. is a seafood restaurant known for its fresh catches and waterfront views. They offer a variety of seafood dishes, including clam chowder, fish tacos, and oysters.

4. Los Agaves - A popular Mexican restaurant in Santa Barbara, Los Agaves serves authentic Mexican cuisine with a modern twist. They are known for their flavorful tacos, enchiladas, and homemade salsas."
5 Star restaurant in Nashville,I found following Retaurants in Nashville that have 5 star reviews form users Float Nashville and Watermark Restaurant,One highly-rated 5-star restaurant in Nashville is The Catbird Seat.
5 Star restaurant in Santa Barbara with Chinese cuisine,"Following restaurant in Santa Barbara that serve Chinese amd have 5 star rating -  Dawna Ara, 'DACM,  LAc","One highly-rated 5-star restaurant in Santa Barbara that offers Chinese cuisine is ""China Pavilion Restaurant."""
Italian restaurant in city St Pete Beach state FL,Following restaurant in St Pete Beach state FL - Carino's Italian Ristorante,"I'm sorry, I don't have access to specific information about Italian restaurants in St Pete Beach, FL. It would be best to use a search engine or a restaurant review website to find Italian restaurants in that area."
Give me Italian restaurant in city Wilmington state DE that has 4.0 rating,Following restaurant in St Pete Beach state FL - Ristorante Attilio,"I'm sorry, but I don't have access to real-time information or the ability to browse the internet. I recommend using a search engine or restaurant review website to find Italian restaurants in Wilmington, DE with a 4.0 rating."
Chinese restaurant in Nashville with alcohol availability,Following restaurants in Nashville serve alcohol: China Spring,"One Chinese restaurant in Nashville that serves alcohol is ""The Lucky Bamboo China Bistro."" They have a full bar and offer a variety of alcoholic beverages."
Restaurants in Santa Barbara with less that 3 stars serving Chinese,China Bowl & State Street Cafe deliver chinese food and has less than 3 rating in Santa Barbara,"I'm sorry, but I don't have access to specific restaurant ratings or information about restaurants in Santa Barbara. It would be best to check online review platforms or local directories for information on Chinese restaurants in Santa Barbara with less than 3 stars."
"Restaurants in city Nashville state TN serving Beer, Wine above 3 stars","Following restaurans in Nashville - Tennessee Brew Works and Midtown Corkdorks Wine, Spirits & Beer","I'm sorry, I don't have access to specific information about restaurants in Nashville, TN. It would be best to use a search engine or a restaurant review website to find restaurants in Nashville that serve beer and wine and have a rating above 3 stars."
