question,answer,predicted_answer
Restaurants in New Orleans with more than 4 that deliver food?,"Following restaurants in New Orleans deliver food and have a star rating above 4: Copper Vine, Ann Becnel Companion Dogs, The Music Box Village, Tat Starz, The Bearded Lady Barbershop, Ernie's Tours, Brooms N Buckets, De Ville Coffee House & Creperie, No Rules Fashion, Voodoo Authentica, Century Girl, Yoga at the Cabildo, District Donuts Sliders Brew, CrossFit NOLA, Katie's Restaurant & Bar, New Orleans Boxing Club, Treasure Tattoo, Sweet Soulfood, Skully'z Recordz, The Voodoo Bone Lady Tours, Imperial Woodpecker Snoballs, Buff Beauty Bar, Pho Cam Ly, Savage Beauty Salon, Preservation Hall, Revival, Nola Tan, 21st Amendment at La Louisiane, Pa Pa Pralines, Aart Accent Tattoo & Piercing, Greenwood Funeral Home, Abba Movers, Drury Plaza Hotel New Orleans, Strange True Tours, Wayward Owl Brewing, Empire Bar, The Green Project, Leggio Dental Group, Bittersweet Confections, Lost and Found, The Quarter Stitch, SHINE Spa & Specialties, Hermann-Grima House, Eat-well Food Mart, Earth Odyssey, Blanc Beauty Bar, Secondline Arts And Antiques, The Fudgery, Webb's Bywater Music, Lush Fresh Handmade Cosmetics, Erzulie's, Ice Cream 504, Jazz Daiquiri Lounge, Mammoth Espresso"," Based on the information provided, there are three restaurants in New Orleans that have more than 4 ratings and offer delivery:

1. New Orleans Hamburger & Seafood Co. - 3.5/4
2. Food Drunk Food Truck - 4/4
3. SWEGS Kitchen - Mid-City - 4/4

Note: The information provided is based on the given context and may not reflect the current status of these restaurants."
Restaurants in New Orleans with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in New Orleans offer Outdoor Seating and have a star rating above 4.5: Ann Becnel Companion Dogs, The Music Box Village, Ernie's Tours, Brooms N Buckets, Century Girl, CrossFit NOLA, New Orleans Boxing Club, Treasure Tattoo, Savage Beauty Salon, Revival, Webb's Bywater Music, Ice Cream 504", Preservation Hall and Zea Rotisserie and Grill both offer Outdoor Seating.
Restaurants in Franklin with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in Franklin that offer Outdoor Seating and have a star rating above 4.5.," Franklin's in city Philadelphia state PA has 3.5 rating for 129 reviews, offers Restaurants, Burgers, Nightlife, Beer, Wine & Spirits, American (New), Bars, Food, Karaoke, Sports Bars food and it has attributes BusinessAcceptsCreditCards, RestaurantsPriceRange2, WiFi, RestaurantsTakeOut, BusinessParking, Ambience, BusinessAcceptsBitcoin, RestaurantsAttire, NoiseLevel, Caters, RestaurantsGoodForGroups, Alcohol, HasTV, BikeParking, RestaurantsReservations, BestNights, OutdoorSeating, RestaurantsDelivery, GoodForKids, GoodForDancing, Music, GoodForMeal and lacks None. The restaurant is open {'Tuesday': '14:0-0:0', 'Wednesday': '14:0-0:0', 'Thursday': '14:0-0:0', 'Friday': '14:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-0:0'}. User gave the restaurant 4 rating with review reading ""I love, love, love this place.  Great food, excellent beer selection, friendly people.  And it's just around the corner from me!"". Others found this review useful, cool."
Restaurants in Santa Barbara with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in Santa Barbara offer Outdoor Seating and have a star rating above 4.5: Dawna Ara, DACM, LAc, Hair By Audrey Johnson, Urban Optics Optometric Center, Imagine Weddings & Special Events, Santa Barbara Frame Shop & Gallery, MICHAEL & ANNA COSTA PHOTOGRAPHY, Santa Barbara PC Mechanic, Chandler Salon, ParadICE Hawaiian Shave Ice & Ice Cream, Mission Tuxedos, Daves Dogs - Cart, TRiMM Salon Color Bar, Tax Offices of Joel Perez, EA, Gavin Roy Presents, The Narrative Loft, Pedego Electric Bikes Santa Barbara, Twisted Twig Fine Florals, Alston Face & Body"," Based on the information provided, Cold Spring Tavern has outdoor seating and has a rating of 4.5 or higher. Therefore, the answer is Cold Spring Tavern."
Restaurants in Franklin with more than 4.5 rating that offers take outs?,There are no restaurants in Franklin that offer take outs and have a star rating above 4.5.," Franklin's in city Philadelphia state PA has 3.5 rating for 129 reviews, offers Restaurants, Burgers, Nightlife, Beer, Wine & Spirits, American (New), Bars, Food, Karaoke, Sports Bars food and it has attributes BusinessAcceptsCreditCards, RestaurantsPriceRange2, WiFi, RestaurantsTakeOut, BusinessParking, Ambience, BusinessAcceptsBitcoin, RestaurantsAttire, NoiseLevel, Caters, RestaurantsGoodForGroups, Alcohol, HasTV, BikeParking, RestaurantsReservations, BestNights, OutdoorSeating, RestaurantsDelivery, GoodForKids, GoodForDancing, Music, GoodForMeal and lacks None. The restaurant is open {'Tuesday': '14:0-0:0', 'Wednesday': '14:0-0:0', 'Thursday': '14:0-0:0', 'Friday': '14:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-0:0'}. User gave the restaurant 4 rating with review reading ""I love, love, love this place.  Great food, excellent beer selection, friendly people.  And it's just around the corner from me!"". Others found this review useful, cool."
Restaurants in Santa Barbara with more than 4.5 rating that offers take outs?,"Following restaurants in Santa Barbara offer take outs and have a star rating above 4.5: Dawna Ara, DACM, LAc, Hair By Audrey Johnson, Urban Optics Optometric Center, Imagine Weddings & Special Events, Santa Barbara Frame Shop & Gallery, MICHAEL & ANNA COSTA PHOTOGRAPHY, Santa Barbara PC Mechanic, Chandler Salon, ParadICE Hawaiian Shave Ice & Ice Cream, Mission Tuxedos, Daves Dogs - Cart, TRiMM Salon Color Bar, Tax Offices of Joel Perez, EA, Gavin Roy Presents, The Narrative Loft, Pedego Electric Bikes Santa Barbara, Twisted Twig Fine Florals, Alston Face & Body"," Based on the information provided, there are two restaurants in Santa Barbara with more than 4.5 rating that offer takeouts:

1. Top Shop Automotive - Offers auto repair, tire services, and oil change stations, among others. They have a rating of 4.0 and offers takeouts.
2. Santa Barbara Certified Farmers Market - Offers food, fruits, and vegetables. They have a rating of 4.5 and offers takeouts.

Note: The answer is based on the information provided in the passage and may not reflect the current status or availability of these restaurants."
Restaurants in Saint Petersburg with more than 4.5 rating that offers take outs?,"Following restaurants in Saint Petersburg offer take outs and have a star rating above 4.5: Boyd Hill Nature Preserve, Simply Delicious - Country Market & Deli"," Based on the information provided, Annex in city Saint Petersburg state FL has 3.5 rating and offers takeout."
Restaurants in Nashville that serve Thai above 3 stars,"Following are restaurants in Nashville that serve Thai and have above 3 stars ratings:Siam Cafe,The Smiling Elephant,Thai Taste Restaurant"," Based on the information provided, Thai Taste Restaurant has a rating of 4.0 out of 5 stars and offers Thai, Restaurants food. It has attributes such as Ambience, BusinessParking, RestaurantsAttire, RestaurantsPriceRange2, Caters, OutdoorSeating, RestaurantsDelivery, Alcohol, RestaurantsReservations, RestaurantsGoodForGroups, BusinessAcceptsCreditCards, NoiseLevel, RestaurantsTakeOut, GoodForKids, HasTV, WiFi and lacks None. The restaurant is open None. User gave the restaurant 5 rating with review reading ""Great sushi the spicy tuna was awesome and inexpensive and drunken noodles native thai was the perfect level of flavor and spice will come back!"".

Please provide the actual answer or let me know if you don't know."
Restaurants in New Orleans that serve Chinese above 3 stars,"Following restaurants in New Orleans serve Chinese and have a star rating more than 3: Bullard Seafood and Grill, Boiling Pot"," August Moon Chinese Restaurant has a rating of 3.0 and offers Vietnamese, Thai, Chinese, Restaurants food. It has attributes Caters, RestaurantsAttire, WiFi, GoodForKids, RestaurantsReservations, BikeParking, BusinessAcceptsCreditCards, RestaurantsPriceRange2, HasTV, Alcohol, RestaurantsGoodForGroups, RestaurantsTakeOut, Ambience, RestaurantsDelivery, GoodForMeal, NoiseLevel, BusinessParking, OutdoorSeating and lacks None."
Restaurants in New Orleans that serve Pizza above 3 stars,"Following restaurants in New Orleans serve Chinese and have a star rating more than 3: 'Mellow Mushroom', 'Blaze Pizza', 'Garage Pizza', 'SWEGS Kitchen - Mid-City', 'Cafe Nino', 'Favela Chic'"," Based on the information provided, Garage Pizza and Cafe Nino both have a rating of 4 or higher, indicating that they are above 3 stars. Favela Chic has a rating of 3.5, which is still above 3 stars. Therefore, the answer to the question is Garage Pizza and Cafe Nino."
